provincia,canton,pobres_2010_n,pobres_2022_n,pct_nbi_2010,pct_nbi_2022,variacion_pct
Morona Santiago,Taisha,17648,25856,0.985,0.969,-0.02
Manabí,Olmedo,9631,9440,0.974,0.936,-0.04
Morona Santiago,Tiwintza,6219,8656,0.959,0.934,-0.03
Esmeraldas,Muisne,28111,33488,0.981,0.923,-0.06
Esmeraldas,Rioverde,25982,30235,0.975,0.920,-0.06
Manabí,Paján,34801,37249,0.945,0.890,-0.06
Guayas,Salitre,53081,54299,0.942,0.889,-0.05
Chimborazo,Guamote,43280,31657,0.955,0.885,-0.07
Morona Santiago,Huamboya,7999,9474,0.953,0.877,-0.08
Esmeraldas,Eloy Alfaro,37814,40374,0.943,0.876,-0.07
Pastaza,Arajuno,6152,8332,0.957,0.874,-0.08
Manabí,Pichincha,28115,26168,0.930,0.861,-0.07
Manabí,24 De Mayo,27774,26851,0.949,0.854,-0.10
Manabí,Flavio Alfaro,23582,22503,0.943,0.852,-0.09
Guayas,Alfredo Baquerizo Moreno (Juján),20565,21465,0.888,0.841,-0.05
Orellana,Loreto,19886,23254,0.934,0.839,-0.09
Los Ríos,Palenque,20497,20623,0.919,0.830,-0.09
Morona Santiago,Logroño,5000,6202,0.874,0.830,-0.04
Cotopaxi,Sigchos,20483,15193,0.936,0.825,-0.11
Los Ríos,Valencia,38086,42366,0.900,0.823,-0.08
Chimborazo,Colta,41441,24750,0.930,0.813,-0.12
Orellana,Aguarico,4157,5578,0.930,0.813,-0.12
Guayas,Colimes,21384,21151,0.927,0.807,-0.12
Sucumbíos,Putumayo,8852,7244,0.915,0.806,-0.11
Guayas,Balzar,48488,45860,0.904,0.793,-0.11
Manabí,Pedernales,51423,55752,0.936,0.793,-0.14
Manabí,Montecristi,62464,78727,0.901,0.788,-0.11
Loja,Sozoranga,6806,5455,0.905,0.783,-0.12
Orellana,La Joya De Los Sachas,32287,40903,0.877,0.781,-0.10
Los Ríos,Baba,36960,35189,0.929,0.777,-0.15
Guayas,Isidro Ayora,10272,11083,0.944,0.775,-0.17
Napo,Archidona,21898,23270,0.883,0.775,-0.11
Manabí,Bolívar,34563,32355,0.892,0.774,-0.12
Los Ríos,Urdaneta,26442,25177,0.874,0.761,-0.11
Sucumbíos,Cuyabeno,6164,6729,0.945,0.760,-0.18
Manabí,Junín,16383,16836,0.859,0.754,-0.11
Manabí,San Vicente,18847,18626,0.855,0.748,-0.11
Guayas,Santa Lucía,35714,32418,0.916,0.742,-0.17
Chimborazo,Alausí,36937,27458,0.866,0.742,-0.12
Los Ríos,Mocache,34584,31105,0.902,0.740,-0.16
Esmeraldas,San Lorenzo,35630,35316,0.840,0.738,-0.10
Manabí,Puerto López,18860,18640,0.930,0.730,-0.20
Los Ríos,Quinsaloma,14812,14184,0.888,0.729,-0.16
Manabí,Jipijapa,58502,56745,0.830,0.728,-0.10
Manabí,Santa Ana,40813,37426,0.849,0.728,-0.12
Loja,Pindal,7415,7538,0.861,0.724,-0.14
Azuay,Nabón,13681,10671,0.875,0.723,-0.15
Guayas,Pedro Carbo,40857,37571,0.940,0.722,-0.22
Guayas,Simón Bolívar,22828,21171,0.902,0.720,-0.18
Bolívar,Chillanes,15970,14205,0.853,0.718,-0.13
Guayas,El Empalme,65117,57051,0.907,0.715,-0.19
Esmeraldas,Quinindé,108605,90469,0.906,0.714,-0.19
Loja,Espíndola,13205,10072,0.894,0.713,-0.18
Esmeraldas,Atacames,32646,36031,0.792,0.710,-0.08
Manabí,El Carmen,90874,85406,0.832,0.706,-0.13
Cotopaxi,Pangua,19688,15078,0.899,0.690,-0.21
Zamora Chinchipe,Yacuambi,5237,4401,0.899,0.689,-0.21
Manabí,Chone,102236,88201,0.808,0.689,-0.12
Los Ríos,Vinces,60287,55361,0.833,0.684,-0.15
Guayas,Palestina,13267,12119,0.821,0.674,-0.15
Manabí,Jama,20568,11154,0.897,0.673,-0.22
Pichincha,Puerto Quito,21598,16806,0.942,0.671,-0.27
Zamora Chinchipe,Palanda,6848,5852,0.846,0.660,-0.19
Manabí,Sucre,46995,41173,0.828,0.660,-0.17
Guayas,Durán,158650,198610,0.673,0.654,-0.02
Sucumbíos,Cascales,9362,7621,0.846,0.649,-0.20
Chimborazo,Pallatanga,9771,7604,0.848,0.648,-0.20
Loja,Saraguro,26098,18813,0.866,0.647,-0.22
Loja,Quilanga,3648,2563,0.843,0.646,-0.20
